date,raw_daily,raw_weekly,anxietydrug1_harmonized_daily
2017.11.04,53,59,52.526951
2017.11.05,18,41,18.452755
2017.11.06,17,41,17.427601
2017.11.07,17,41,17.427601
2017.11.08,26,41,26.653976
2017.11.09,35,41,35.880356
2017.11.10,43,41,44.081577
2017.11.11,18,41,18.452755
2017.11.12,36,45,34.549274
2017.11.13,26,45,24.952255
2017.11.14,34,45,32.629871
2017.11.15,35,45,33.589573
2017.11.16,37,45,35.508976
2017.11.17,27,45,25.911957
2017.11.18,9,45,8.6373186
2017.11.19,28,47,25.446465
2017.11.20,18,47,16.35844
2017.11.21,19,47,17.267244
2017.11.22,38,47,34.534489
2017.11.23,28,47,25.446465
2017.11.24,37,47,33.625687
2017.11.25,57,47,51.801731
2017.11.26,46,43,40.592377
2017.11.27,56,43,49.416805
2017.11.28,18,43,15.883974
2017.11.29,27,43,23.82596
2017.11.30,18,43,15.883974
2017.12.01,28,43,24.708403
2017.12.02,19,43,16.766417
2017.12.03,18,37,17.455015
2017.12.04,18,37,17.455015
2017.12.05,36,37,34.91003
2017.12.06,9,37,8.7275076
2017.12.07,28,37,27.152246
2017.12.08,28,37,27.152246
2017.12.09,29,37,28.121969
2017.12.10,18,51,18.071928
2017.12.11,27,51,27.107891
2017.12.12,46,51,46.183815
2017.12.13,27,51,27.107891
2017.12.14,19,51,19.075924
2017.12.15,56,51,56.223774
2017.12.16,28,51,28.111887
2017.12.17,19,55,21.344736
2017.12.18,18,55,20.221327
2017.12.19,45,55,50.553318
2017.12.20,46,55,51.676727
2017.12.21,9,55,10.110663
2017.12.22,19,55,21.344736
2017.12.23,57,55,64.034203
2017.12.24,9,35,8.6192112
2017.12.25,18,35,17.238422
2017.12.26,9,35,8.6192112
2017.12.27,56,35,53.63065
2017.12.28,38,35,36.392227
2017.12.29,29,35,27.773014
2017.12.30,0,35,0
2017.12.31,12,30,10.104733
2018.01.01,0,30,0
2018.01.02,0,30,0
2018.01.03,67,30,56.418098
2018.01.04,43,30,36.20863
2018.01.05,22,30,18.525345
2018.01.06,11,30,9.2626724
2018.01.07,11,45,9.1253023
2018.01.08,32,45,26.546335
2018.01.09,22,45,18.250605
2018.01.10,68,45,56.410961
2018.01.11,22,45,18.250605
2018.01.12,46,45,38.160355
2018.01.13,35,45,29.035055
2018.01.14,34,49,29.344866
2018.01.15,34,49,29.344866
2018.01.16,45,49,38.838795
2018.01.17,22,49,18.987854
2018.01.18,56,49,48.332722
2018.01.19,22,49,18.987854
2018.01.20,34,49,29.344866
2018.01.21,33,44,28.327993
2018.01.22,21,44,18.026905
2018.01.23,22,44,18.885328
2018.01.24,55,44,47.213322
2018.01.25,23,44,19.743753
2018.01.26,23,44,19.743753
2018.01.27,46,44,39.487507
2018.01.28,11,58,9.6378965
2018.01.29,89,58,77.979347
2018.01.30,67,58,58.703552
2018.01.31,33,58,28.913689
2018.02.01,32,58,28.037518
2018.02.02,0,58,0
2018.02.03,56,58,49.065655
2018.02.04,44,52,33.180954
2018.02.05,44,52,33.180954
2018.02.06,33,52,24.885715
2018.02.07,89,52,67.11602
2018.02.08,22,52,16.590477
2018.02.09,34,52,25.639828
2018.02.10,34,52,25.639828
2018.02.11,33,54,25.671713
2018.02.12,11,54,8.5572376
2018.02.13,45,54,35.006882
2018.02.14,22,54,17.114475
2018.02.15,67,54,52.121357
2018.02.16,56,54,43.564121
2018.02.17,68,54,52.899288
2018.02.18,68,48,50.535656
2018.02.19,45,48,33.442711
2018.02.20,33,48,24.524654
2018.02.21,55,48,40.874428
2018.02.22,11,48,8.1748857
2018.02.23,34,48,25.267828
2018.02.24,35,48,26.011
2018.02.25,56,54,46.819801
2018.02.26,57,54,47.655872
2018.02.27,33,54,27.59024
2018.02.28,56,54,46.819801
2018.03.01,44,54,36.786987
2018.03.02,0,54,0
2018.03.03,35,54,29.262375
2018.03.04,34,51,26.37771
2018.03.05,21,51,16.292116
2018.03.06,100,51,77.581505
2018.03.07,55,51,42.669827
2018.03.08,32,51,24.826082
2018.03.09,33,51,25.601898
2018.03.10,11,51,8.5339651
2018.03.11,55,54,43.07143
2018.03.12,66,54,51.685711
2018.03.13,22,54,17.228571
2018.03.14,55,54,43.07143
2018.03.15,22,54,17.228571
2018.03.16,22,54,17.228571
2018.03.17,58,54,45.42078
2018.03.18,34,48,26.793434
2018.03.19,65,48,51.222736
2018.03.20,44,48,34.673855
2018.03.21,43,48,33.885815
2018.03.22,33,48,26.005392
2018.03.23,34,48,26.793434
2018.03.24,12,48,9.4565058
2018.03.25,23,41,20.310209
2018.03.26,44,41,38.854317
2018.03.27,22,41,19.427158
2018.03.28,22,41,19.427158
2018.03.29,22,41,19.427158
2018.03.30,34,41,30.023788
2018.03.31,35,41,30.906839
2018.04.01,22,31,16.955103
2018.04.02,55,31,42.387753
2018.04.03,33,31,25.432653
2018.04.04,0,31,0
2018.04.05,22,31,16.955103
2018.04.06,21,31,16.184416
2018.04.07,22,31,16.955103
2018.04.08,22,48,16.408165
2018.04.09,34,48,25.358072
2018.04.10,45,48,33.562153
2018.04.11,56,48,41.766235
2018.04.12,33,48,24.612246
2018.04.13,46,48,34.30798
2018.04.14,44,48,32.81633
2018.04.15,22,41,16.628328
2018.04.16,34,41,25.698328
2018.04.17,11,41,8.3141642
2018.04.18,22,41,16.628328
2018.04.19,57,41,43.082489
2018.04.20,34,41,25.698328
2018.04.21,56,41,42.326656
2018.04.22,65,67,49.470177
2018.04.23,65,67,49.470177
2018.04.24,74,67,56.319893
2018.04.25,54,67,41.098301
2018.04.26,22,67,16.743753
2018.04.27,58,67,44.14262
2018.04.28,45,67,34.248585
2018.04.29,22,31,14.98557
2018.04.30,33,31,22.478354
2018.05.01,11,31,7.492785
2018.05.02,21,31,14.304407
2018.05.03,22,31,14.98557
2018.05.04,11,31,7.492785
2018.05.05,78,31,53.130657
2018.05.06,65,64,51.271111
2018.05.07,21,64,16.564512
2018.05.08,76,64,59.947762
